codigo_localidad:nombre_localidad:nombre_provincia:latitud:longitud
130330001:"Castellar de Santiago":"Ciudad Real":38,537768:-3,2772247
130380001:Chillon:"Ciudad Real":38,7965593:-4,8663254
130050003:"Cinco Casas":"Ciudad Real":39,173958:-3,2351093
130340002:"Ciudad Real":"Ciudad Real":38,9848295:-3,9273778
130870002:Consolacion:"Ciudad Real":38,8949305:-3,3899197
130350001:"Corral de Calatrava":"Ciudad Real":38,8578812:-4,0810451
130360002:"Cortijos de Arriba":"Ciudad Real":39,296259:-4,071511
130370001:Cozar:"Ciudad Real":38,658662:-3,0713944
130390001:Daimiel:"Ciudad Real":39,0699215:-3,6141819
130400001:"Fernan Caballero":"Ciudad Real":39,1233286:-3,9018185
130420001:Fuencaliente:"Ciudad Real":38,4048879:-4,3038709
130440003:"Fuente el Fresno":"Ciudad Real":39,227199:-3,7752572
130450001:"Granatula de Calatrava":"Ciudad Real":38,7987129:-3,7422395
130460001:Guadalmez:"Ciudad Real":38,7269247:-4,970158
130470001:Herencia:"Ciudad Real":39,3682936:-3,356525
130480001:"Hinojosas de Calatrava":"Ciudad Real":38,6140029:-4,1382793
130490001:"Horcajo de los Montes":"Ciudad Real":39,3278354:-4,6489096
130500001:"Las Labores":"Ciudad Real":39,2741004:-3,5193001
139040001:"Llanos del Caudillo":"Ciudad Real":39,1180186:-3,3527459
130510003:Luciana:"Ciudad Real":38,9851676:-4,2929638
130520003:Malagon:"Ciudad Real":39,1668064:-3,853225
130530003:Manzanares:"Ciudad Real":39,0042841:-3,3716443
130540001:Membrilla:"Ciudad Real":38,9726307:-3,3461408
130560001:Miguelturra:"Ciudad Real":38,9622034:-3,8884417
130570001:Montiel:"Ciudad Real":38,6978849:-2,866439
130580001:"Moral de Calatrava":"Ciudad Real":38,8273646:-3,577473
130610001:"Pedro Muñoz":"Ciudad Real":39,4001148:-2,945068
130620001:Picon:"Ciudad Real":39,0513683:-4,0606029
130630002:Piedrabuena:"Ciudad Real":39,0356538:-4,1744145
130640001:Poblete:"Ciudad Real":38,9359614:-3,9811462
130650002:Porzuna:"Ciudad Real":39,1468093:-4,1552154
130100002:"Pozo de la Serna":"Ciudad Real":38,7766442:-3,2325961
130660001:"Pozuelo de Calatrava":"Ciudad Real":38,9104971:-3,8362694
130670001:"Los Pozuelos de Calatrava":"Ciudad Real":38,9006187:-4,1694229
130680001:"Puebla de Don Rodrigo":"Ciudad Real":39,0833489:-4,6172751
130690001:"Puebla del Principe":"Ciudad Real":38,5680197:-2,926335
130700001:"Puerto Lapice":"Ciudad Real":39,3238574:-3,4807664
130710004:Puertollano:"Ciudad Real":38,6884458:-4,1078877
130720003:"Retuerta del Bullaque":"Ciudad Real":39,4637642:-4,4117789
139010001:"El Robledo":"Ciudad Real":39,2195124:-4,2801348
139020001:Ruidera:"Ciudad Real":38,9762684:-2,8845246
130730001:Saceruela:"Ciudad Real":38,9452035:-4,6075948
130150007:"San Benito":"Ciudad Real":38,5657093:-4,6766856
130740001:"San Carlos del Valle":"Ciudad Real":38,8443257:-3,2413929
130750001:"San Lorenzo de Calatrava":"Ciudad Real":38,476941:-3,8245062
130770001:"Santa Cruz de Mudela":"Ciudad Real":38,6410776:-3,4675075
130780001:Socuellamos:"Ciudad Real":39,2847115:-2,7904302
130790001:"La Solana":"Ciudad Real":38,9416013:-3,2392014
130810001:Terrinches:"Ciudad Real":38,6088522:-2,8383888
130820002:Tomelloso:"Ciudad Real":39,1583745:-3,0214475
130650005:"El Torno":"Ciudad Real":39,2553635:-4,2570505
130830001:"Torralba de Calatrava":"Ciudad Real":39,0175087:-3,7498571
