"Alcazar de San Juan",Carranque,147,83,CM-42
"Alcazar de San Juan",Carriches,148,94,CM-42
"Alcazar de San Juan","Carrion de Calatrava",89,59,CM-420
"Alcazar de San Juan",Carrizosa,91,65,"CM-3107 y N-430"
"Alcazar de San Juan","El Casar ",204,123,A-4
"Alcazar de San Juan","El Casar de Escalona ",157,89,CM-42
"Alcazar de San Juan","Casarrubios del Monte",148,87,CM-42
"Alcazar de San Juan","Las Casas ",106,75,"CM-420 y A-43"
"Alcazar de San Juan","Casas de Benitez",126,74,"CM-42 y A-43"
"Alcazar de San Juan","Casas de Fernando Alonso",109,61,"CM-42 y A-43"
"Alcazar de San Juan","Casas de Juan Nuñez",160,92,"A-43 y A-31"
"Alcazar de San Juan","Casas-Ibañez",195,121,A-43
"Alcazar de San Juan",Casasimarro,136,80,A-43
"Alcazar de San Juan","Castellar de Santiago",107,79,"CM-3107 y A-4"
"Alcazar de San Juan",Caudete,259,140,A-31
"Alcazar de San Juan",Cazalegas,169,95,CM-42
"Alcazar de San Juan","Cañamares",174,133,CM-310
"Alcazar de San Juan","Cañaveras",150,110,CM-310
"Alcazar de San Juan","Cañete",226,137,A-43
"Alcazar de San Juan",Cebolla,154,94,"CM-42 y CM-4000"
"Alcazar de San Juan","Cedillo del Condado",135,81,CM-42
"Alcazar de San Juan",Cenizate,171,105,A-43
"Alcazar de San Juan","Los Cerralbos ",164,96,CM-42
"Alcazar de San Juan",Checa,255,206,"CM-310 y CM-210"
"Alcazar de San Juan",Chillon,202,132,CM-420
"Alcazar de San Juan",Chiloeches,200,117,A-4
"Alcazar de San Juan","Chinchilla de Monte-",172,92,"A-43 y A-31"
"Alcazar de San Juan","Chozas de Canales",136,81,CM-42
"Alcazar de San Juan",Cifuentes,203,157,CM-310
"Alcazar de San Juan","Cinco Casas",28,24,CM-3107
"Alcazar de San Juan",Ciruelos,96,59,"CM-42 y A-4"
"Alcazar de San Juan",Cobeja,127,75,CM-42
"Alcazar de San Juan",Cobisa,98,55,CM-42
"Alcazar de San Juan",Cogolludo,245,145,A-4
"Alcazar de San Juan",Consolacion,62,46,CM-3107
"Alcazar de San Juan",Consuegra,40,28,CM-42
"Alcazar de San Juan","Corral de Almaguer",52,40,"CM-310 y N-301"
"Alcazar de San Juan","Corral de Calatrava",117,75,"CM-420 y A-43"
"Alcazar de San Juan","Cortijo de Arriba",96,84,"CM-4120 y CR-713"
"Alcazar de San Juan","El Coto ",203,122,A-4
"Alcazar de San Juan",Cozar,103,77,"CM-3107 y CM-3127"
"Alcazar de San Juan",Cuenca,151,101,"CM-310 y A-40"
"Alcazar de San Juan",Cuerva,110,70,CM-42
"Alcazar de San Juan",Daimiel,65,50,CM-420
"Alcazar de San Juan","Domingo Perez",158,91,CM-42
"Alcazar de San Juan",Dosbarrios,83,48,"CM-42 y A-4"
"Alcazar de San Juan","Elche de la Sierra",194,143,"CM-313 y CM-3203"
"Alcazar de San Juan",Escalona,155,93,CM-42
"Alcazar de San Juan",Escalonilla,140,82,CM-42
"Alcazar de San Juan",Esquivias,130,78,A-4
"Alcazar de San Juan",Ferez,260,152,A-30
"Alcazar de San Juan","Fernan Caballero",83,62,CM-4120
"Alcazar de San Juan",Fontanar,215,125,A-4
"Alcazar de San Juan",Fuencaliente,192,126,N-420
"Alcazar de San Juan",Fuensalida,132,82,CM-42
"Alcazar de San Juan","Fuente de Pedro Naharro",79,61,"CM-310 y CM-200"
"Alcazar de San Juan","Fuente el Fresno",66,50,CM-4120
"Alcazar de San Juan",Fuente-Alamo,214,120,A-31
"Alcazar de San Juan",Fuentealbilla,180,112,A-43
"Alcazar de San Juan",Galapagos,202,123,A-4
"Alcazar de San Juan",Galvez,116,77,CM-42
"Alcazar de San Juan",Gamonal,197,111,"CM-42 y A-5"
"Alcazar de San Juan",Gerindote,134,79,CM-42
"Alcazar de San Juan","La Gineta ",139,75,A-43
"Alcazar de San Juan","Graja de Iniesta",171,92,"A-43 y A-3"
"Alcazar de San Juan","Granatula de Calatrava",96,70,CM-3107
"Alcazar de San Juan",Guadalajara,205,119,A-4
"Alcazar de San Juan",Guadalmez,224,148,CM-4202
"Alcazar de San Juan",Guadamur,110,64,CM-42
"Alcazar de San Juan","La Guardia ",71,42,"CM-42 y A-4"
"Alcazar de San Juan",Hellin,222,123,A-30
"Alcazar de San Juan",Herencia,16,15,"Carr Herencia/CM-3165"
"Alcazar de San Juan","Las Herencias ",196,119,CM-42
"Alcazar de San Juan",Higueruela,203,111,A-31
"Alcazar de San Juan","Hinojosas de Calatrava",149,100,CM-420
"Alcazar de San Juan","Los Hinojosos ",52,47,N-420
"Alcazar de San Juan",Honrubia,129,71,"CM-42 y A-43"
"Alcazar de San Juan","Horcajo de Santiago",70,56,CM-310
"Alcazar de San Juan","Horcajo de los Montes",149,111,"CM-42 y CM-4017"
"Alcazar de San Juan",Horche,215,125,A-4
"Alcazar de San Juan",Hormigos,153,90,CM-42
"Alcazar de San Juan",Huecas,126,75,CM-42
"Alcazar de San Juan","Huerta de Valdecarabanos",86,52,"CM-42 y A-4"
"Alcazar de San Juan",Huete,109,83,CM-310
"Alcazar de San Juan",Humanes,227,133,A-4
"Alcazar de San Juan",Illescas,137,78,"CM-42 y A-42"
"Alcazar de San Juan",Iniesta,155,94,"A-43 y N-310"
"Alcazar de San Juan",Iriepal,209,120,A-4
"Alcazar de San Juan",Isso,227,123,A-30
"Alcazar de San Juan",Jadraque,251,152,"A-4 y A-2"
"Alcazar de San Juan","Las Labores ",39,30,"CM-42 y CM-420"
"Alcazar de San Juan",Lagartera,221,122,"CM-42 y A-5"
"Alcazar de San Juan",Landete,266,149,"A-43 y A-3"
"Alcazar de San Juan",Layos,106,63,CM-42
"Alcazar de San Juan","Ledaña",169,99,A-43
"Alcazar de San Juan",Letur,272,160,A-30
"Alcazar de San Juan",Lezuza,99,68,"CM-42 y CM-400"
"Alcazar de San Juan",Lietor,170,122,CM-313
"Alcazar de San Juan",Lillo,43,38,"CM-3012 y CM-3005"
"Alcazar de San Juan","Llanos del Caudillo",37,28,CM-3107
"Alcazar de San Juan",Lominchar,130,75,CM-42
"Alcazar de San Juan",Luciana,137,94,CM-420
"Alcazar de San Juan",Lupiana,216,128,A-4
"Alcazar de San Juan",Madridejos,37,25,CM-42
"Alcazar de San Juan",Madrigueras,157,94,A-43
"Alcazar de San Juan",Magan,118,67,CM-42
"Alcazar de San Juan",Mahora,163,100,A-43
"Alcazar de San Juan",Malagon,77,58,CM-4120
"Alcazar de San Juan","Malpica de Tajo",151,92,"CM-42 y CM-4000"
"Alcazar de San Juan",Mandayona,260,148,"A-4 y A-2"
"Alcazar de San Juan",Manzaneque,70,41,CM-42
"Alcazar de San Juan",Maqueda,142,82,CM-42
"Alcazar de San Juan",Marchamalo,207,121,A-4
"Alcazar de San Juan",Marjaliza,74,50,"CM-42 y CM-4025/CM-4054"
"Alcazar de San Juan",Mascaraque,78,46,CM-42
"Alcazar de San Juan","La Mata ",146,90,CM-42
"Alcazar de San Juan",Mazarambroz,93,59,CM-42
"Alcazar de San Juan",Mejorada,192,109,CM-42
"Alcazar de San Juan",Membrilla,52,44,CM-3107
"Alcazar de San Juan","El Membrillo ",200,124,CM-42
"Alcazar de San Juan",Menasalbas,117,77,CM-42
"Alcazar de San Juan",Mentrida,163,98,CM-42
"Alcazar de San Juan","Las Mesas ",44,42,N-420
"Alcazar de San Juan","Miguel Esteban",22,22,CM-310
"Alcazar de San Juan",Miguelturra,98,66,"CM-420 y A-43"
"Alcazar de San Juan",Minaya,101,59,"CM-42 y A-43"
"Alcazar de San Juan",Minglanilla,178,96,"A-43 y A-3"
"Alcazar de San Juan",Mira,218,126,"A-43 y A-3"
"Alcazar de San Juan",Mocejon,113,67,CM-42
"Alcazar de San Juan",Molina,249,201,"CM-310 y CM-210"
"Alcazar de San Juan",Molinicos,199,152,CM-313
"Alcazar de San Juan",Mondejar,137,113,CM-310
"Alcazar de San Juan","Montealegre del Castillo",217,118,A-31
"Alcazar de San Juan",Montiel,107,79,"CM-3107 y CM-3127"
"Alcazar de San Juan",Mora,72,43,CM-42
"Alcazar de San Juan","Moral de Calatrava",93,64,"CM-3107 y A-4"
"Alcazar de San Juan","Mota del Cuervo",40,36,N-420
